,CAN,COMPR,D1,D743,D841,D872,D894,EEN,EEN_DIS,EER,FDD,GCD,GCN,GCN_DIS,GCN_YEN,GCR,GCR_YER,GDN,GDN_DIS,GDN_DIS_YEN,GDN_YEN,GEN,GEN_YEN,GIN,GIN_OTHER,GIN_OTHER_YEN,GIN_YEN,GIX,GLN,GLN_DIS,GLN_DIS_YEN,GLN_YEN,GLN_YEN_TARGET,GON,GPN,GPN_YEN,GRN,GRN_YEN,GSN,GSN_YEN,GYN,GYN_YEN,HICP,I77Q4I78Q1,I81Q1,I82Q1,I84Q2,I92Q4,I98Q1,INFQ,INFT,INN,INN_YEN,ITD,ITN,ITR,KSR,LFN,LNN,LNT,LPROD,LSL,LSR,LTN,M3N,M3R,MTD,MTN,MTR,NFA,NFN,NFN_YEN,OGN,OGN_YEN,PCD,PCN,PCR,PYN,PYN_DIS,PYN_DIS_YEN,PYR,SCD,SCN,SCR,SSN,SSN_YEN,STN,STRQ,TBN,TBR,TDN,TDN_YEN,TDN_YEN_DIS,TFT,TIME,TIN,TIN_YEN,TRN,TRN_FIRMS,TRN_FIRMS_YEN,TRN_OTHER,TRN_OTHER_YEN,TRN_YEN,TRN_YEN_DIS,ULC,ULT,UNN,URT,URX,WIN,WLN,WRN,XTD,XTN,XTR,YED,YEN,YEN_DIS,YER,YER_DIS,YET,YFD,YFN,YGA,YIN,YIN_DIS,YWD,YWDX,YWR,YWRX,
1970Q1,-517.9085 ,18.4000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.1733 ,-0.0257 ,0.4366 ,690866.1685 ,0.1736 ,15187.5717 ,-3066.8493 ,0.1245 ,87500.2131 ,0.1496 ,,,,,43673.8522 ,0.3580 ,4730.9273 ,1341.4460 ,0.0110 ,0.0388 ,,-524.5742 ,0.0000 ,0.0000 ,-0.0043 ,-0.0043 ,48817.7527 ,1100.8739 ,0.0090 ,43149.2780 ,0.3537 ,4206.3531 ,0.0345 ,19393.9248 ,0.1590 ,19.8994 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,,1625.4481 ,0.0133 ,0.2071 ,30490.8419 ,147237.4622 ,6970369.1514 ,108299.9837 ,106322.3300 ,,5.4999 ,,1520382.5330 ,7.1911 ,,,0.2379 ,25241.7376 ,106103.6558 ,-103400.0000 ,-322.9919 ,-0.0026 ,3084.0083 ,0.0253 ,0.2163 ,74581.3781 ,344746.9440 ,91787.0666 ,-10490.0175 ,-0.0860 ,424278.9755 ,0.1727 ,1929.1257 ,11168.9031 ,14419.6909 ,0.1182 ,7.9032 ,,-194.9166 ,-5891.0096 ,10088.9039 ,0.0827 ,,,1.0000 ,13207.0705 ,0.1083 ,17433.6241 ,2349.6045 ,0.0193 ,1005.2306 ,0.0082 ,0.1429 ,0.1393 ,0.1026 ,,1977.6537 ,,0.0183 ,59969.1775 ,,0.5640 ,0.2499 ,25046.8210 ,100212.6462 ,0.2086 ,121994.0007 ,0.0000 ,584762.5127 ,0.0000 ,,0.1860 ,108786.9302 ,,121994.0007 ,0.0000 ,0.4073 ,0.3239 ,71.6443 ,16027.7399 ,
1970Q2,662.5996 ,18.6341 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.1654 ,-0.0213 ,0.4421 ,708200.5116 ,0.1778 ,15871.4204 ,-3063.9702 ,0.1252 ,89274.1751 ,0.1494 ,,,,,45540.8849 ,0.3592 ,4907.8164 ,1352.2803 ,0.0107 ,0.0387 ,,-431.0663 ,0.0000 ,0.0000 ,-0.0034 ,-0.0034 ,50254.9420 ,1258.2064 ,0.0099 ,45109.8186 ,0.3558 ,4476.7501 ,0.0353 ,20348.1705 ,0.1605 ,20.1231 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0111 ,1689.2727 ,0.0133 ,0.2099 ,32407.4403 ,154373.7398 ,7055039.1997 ,108500.4910 ,106578.9500 ,,5.6085 ,106503.3106 ,1531372.4902 ,7.5037 ,,,0.2419 ,26718.7003 ,110454.4619 ,-102737.4004 ,1037.2106 ,0.0082 ,3246.9434 ,0.0256 ,0.2188 ,76604.9720 ,350176.8904 ,94771.2656 ,-12701.9751 ,-0.1002 ,433218.7094 ,0.2070 ,2274.9790 ,10989.9572 ,15176.0688 ,0.1197 ,7.8705 ,,-374.6110 ,-7068.7127 ,10573.8023 ,0.0834 ,,0.9944 ,2.0000 ,13725.6576 ,0.1083 ,18347.6354 ,2387.3465 ,0.0188 ,985.1132 ,0.0078 ,0.1447 ,0.1412 ,0.1051 ,,1921.5410 ,,0.0177 ,62803.6011 ,,0.5893 ,0.2548 ,26344.0893 ,103385.7492 ,0.2121 ,126784.2007 ,0.0000 ,597746.0498 ,0.0000 ,,0.1891 ,113058.5431 ,,126784.2007 ,0.0000 ,0.4117 ,0.3282 ,72.7821 ,16359.9976 ,
1970Q3,1130.4155 ,18.3000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.1627 ,-0.0186 ,0.4442 ,718286.7412 ,0.1797 ,16234.5260 ,-3181.3213 ,0.1250 ,90332.7091 ,0.1495 ,,,,,46964.5969 ,0.3616 ,4989.9884 ,1254.1210 ,0.0097 ,0.0384 ,,-467.5679 ,0.0000 ,0.0000 ,-0.0036 ,-0.0036 ,50329.7941 ,1262.9528 ,0.0097 ,46497.0290 ,0.3580 ,4522.4205 ,0.0348 ,20756.9465 ,0.1598 ,20.3097 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0128 ,1730.5207 ,0.0133 ,0.2133 ,33375.8243 ,156453.0059 ,7140941.8136 ,108623.9560 ,106629.7600 ,,5.6670 ,106743.0917 ,1541986.1323 ,7.5311 ,,,0.2417 ,27554.7238 ,114016.9771 ,-101606.9849 ,1265.6913 ,0.0097 ,3258.6884 ,0.0251 ,0.2216 ,78717.6491 ,355249.6723 ,97708.4068 ,-12680.3072 ,-0.0976 ,440954.2191 ,0.1590 ,1687.2456 ,10613.6421 ,15845.3562 ,0.1220 ,7.5600 ,,-135.2758 ,-8379.2653 ,10935.8934 ,0.0842 ,,0.9989 ,3.0000 ,14038.7259 ,0.1081 ,19313.6216 ,2418.3650 ,0.0186 ,1023.4542 ,0.0079 ,0.1487 ,0.1450 ,0.1084 ,,1994.1960 ,,0.0184 ,65511.4492 ,,0.6144 ,0.2596 ,27419.4480 ,105637.7118 ,0.2149 ,129879.9692 ,0.0000 ,604269.7641 ,0.0000 ,,0.1917 ,115841.2433 ,,129879.9692 ,0.0000 ,0.4161 ,0.3330 ,73.0868 ,16514.3976 ,
1970Q4,467.2508 ,18.2663 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.1622 ,-0.0152 ,0.4449 ,725103.1974 ,0.1831 ,16755.3288 ,-3211.9356 ,0.1260 ,91522.6843 ,0.1501 ,,,,,48418.6553 ,0.3640 ,5073.8673 ,1092.6686 ,0.0082 ,0.0381 ,,-554.2890 ,0.0000 ,0.0000 ,-0.0042 ,-0.0042 ,50685.8756 ,1218.0420 ,0.0092 ,47864.3663 ,0.3598 ,4519.5783 ,0.0340 ,21274.9071 ,0.1599 ,20.5640 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,,0.0123 ,1772.3311 ,0.0133 ,0.2171 ,34021.8697 ,156721.9527 ,7226254.3482 ,108802.0291 ,106819.2500 ,,5.7078 ,106635.2884 ,1549570.3004 ,7.4733 ,,,0.2453 ,28305.7163 ,115397.2858 ,-101139.7341 ,543.7988 ,0.0041 ,3126.6129 ,0.0235 ,0.2243 ,81161.8580 ,361794.7199 ,100114.2460 ,-12172.5876 ,-0.0915 ,446278.6647 ,0.1523 ,1155.4335 ,7584.1681 ,16528.1077 ,0.1243 ,7.1892 ,,-76.5480 ,-7917.6134 ,11386.8560 ,0.0856 ,,1.0035 ,4.0000 ,14326.4159 ,0.1077 ,20210.4463 ,2496.3737 ,0.0188 ,1017.6395 ,0.0077 ,0.1519 ,0.1483 ,0.1115 ,,1982.7791 ,,0.0182 ,68005.6504 ,,0.6366 ,0.2626 ,28229.1682 ,107479.6725 ,0.2182 ,133017.9419 ,0.0000 ,609705.9116 ,0.0000 ,,0.1947 ,118691.5260 ,,133017.9419 ,0.0000 ,0.4220 ,0.3372 ,73.0973 ,16595.6686 ,
1971Q1,148.3329 ,18.4344 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.1648 ,-0.0204 ,0.4500 ,724949.9709 ,0.1945 ,17938.9383 ,-2698.5509 ,0.1315 ,92239.9779 ,0.1513 ,,,,,50204.8890 ,0.3681 ,5234.6200 ,1199.9528 ,0.0088 ,0.0384 ,,-886.5302 ,0.0000 ,0.0000 ,-0.0065 ,-0.0065 ,51868.4335 ,944.0865 ,0.0069 ,49318.3588 ,0.3616 ,4348.0898 ,0.0319 ,22287.0281 ,0.1634 ,20.9424 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0175 ,0.0177 ,1830.6167 ,0.0134 ,0.2217 ,34726.4879 ,156608.5531 ,7310600.3578 ,108926.9787 ,106902.4500 ,,5.7024 ,104896.8648 ,1554102.6807 ,7.0522 ,,,0.2476 ,28557.6928 ,115353.3862 ,-100991.4012 ,-331.9794 ,-0.0024 ,3174.0510 ,0.0233 ,0.2283 ,82772.6149 ,362489.9705 ,102241.8917 ,-11528.3673 ,-0.0845 ,447752.6818 ,0.1039 ,470.9132 ,4532.3803 ,17105.9418 ,0.1254 ,6.2773 ,-0.0022 ,480.3122 ,-6274.2972 ,11816.2205 ,0.0866 ,0.0013 ,1.0080 ,5.0000 ,14623.9299 ,0.1072 ,20386.4456 ,2598.2155 ,0.0191 ,1016.1000 ,0.0075 ,0.1495 ,0.1458 ,0.1147 ,,2024.5287 ,,0.0186 ,69896.9031 ,,0.6538 ,0.2662 ,29038.0051 ,109079.0890 ,0.2237 ,136389.2665 ,0.0000 ,609596.5847 ,0.0000 ,,0.1997 ,121765.3366 ,,136389.2665 ,0.0000 ,0.4269 ,0.3418 ,73.1898 ,16575.7845 ,
1971Q2,592.3129 ,18.4670 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.1588 ,-0.0290 ,0.4538 ,732981.0844 ,0.1970 ,18462.0892 ,-2802.6582 ,0.1319 ,93702.3820 ,0.1519 ,,,,,52018.1909 ,0.3715 ,5390.8489 ,1217.3517 ,0.0087 ,0.0385 ,,-1176.1852 ,0.0000 ,0.0000 ,-0.0084 ,-0.0084 ,53211.9049 ,703.1907 ,0.0050 ,50842.0056 ,0.3631 ,4214.6636 ,0.0301 ,22676.7529 ,0.1620 ,21.2948 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0169 ,0.0151 ,1879.3759 ,0.0134 ,0.2258 ,35973.2055 ,159285.3299 ,7396779.6841 ,109377.6594 ,107260.4600 ,,5.7524 ,105387.3371 ,1556462.5345 ,7.1478 ,,,0.2495 ,28942.3355 ,115978.7201 ,-100399.0884 ,164.9698 ,0.0012 ,3419.7585 ,0.0244 ,0.2318 ,85383.8667 ,368313.5585 ,105144.6014 ,-12365.6635 ,-0.0883 ,453553.8601 ,-0.0951 ,-224.4564 ,2359.8538 ,17610.4330 ,0.1258 ,5.8679 ,-0.0025 ,427.3431 ,-6658.7599 ,12130.9502 ,0.0866 ,0.0005 ,1.0126 ,6.0000 ,15034.4473 ,0.1074 ,21329.9365 ,2646.4167 ,0.0189 ,1092.1720 ,0.0078 ,0.1523 ,0.1485 ,0.1163 ,,2117.1994 ,,0.0194 ,71775.6959 ,,0.6692 ,0.2687 ,29369.6786 ,109319.9602 ,0.2269 ,140022.0481 ,0.0000 ,617002.3643 ,0.0000 ,,0.2026 ,124987.6007 ,,140022.0481 ,0.0000 ,0.4316 ,0.3445 ,74.1392 ,16787.5936 ,
1971Q3,1924.9350 ,18.7337 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.1418 ,-0.0166 ,0.4621 ,744195.1512 ,0.2017 ,19074.7880 ,-2705.5716 ,0.1324 ,94561.3049 ,0.1512 ,,,,,54015.6002 ,0.3749 ,5547.0808 ,1467.3109 ,0.0102 ,0.0385 ,,-1512.8402 ,0.0000 ,0.0000 ,-0.0105 ,-0.0105 ,54318.8853 ,421.0018 ,0.0029 ,52502.7600 ,0.3644 ,4034.2406 ,0.0280 ,23109.0286 ,0.1604 ,21.5473 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0173 ,0.0141 ,1933.8421 ,0.0134 ,0.2284 ,36431.4202 ,159512.8932 ,7482324.7804 ,109112.7049 ,106987.7700 ,,5.8468 ,106173.3144 ,1560115.0178 ,7.2126 ,,,0.2520 ,29902.8971 ,118659.3397 ,-98474.1533 ,882.0249 ,0.0061 ,3681.5327 ,0.0256 ,0.2351 ,87601.3452 ,372605.0153 ,108175.4215 ,-13677.5968 ,-0.0949 ,460115.1331 ,-0.0193 ,-70.4415 ,3652.4833 ,18145.4380 ,0.1259 ,6.2442 ,-0.0020 ,1042.9101 ,-4795.8852 ,12482.5168 ,0.0866 ,0.0007 ,1.0172 ,7.0000 ,15490.3313 ,0.1075 ,22117.6903 ,2702.9412 ,0.0188 ,1171.9469 ,0.0081 ,0.1535 ,0.1496 ,0.1187 ,,2124.9349 ,,0.0195 ,74270.8053 ,,0.6942 ,0.2718 ,30945.8072 ,113863.4545 ,0.2303 ,144080.0219 ,0.0000 ,625535.8114 ,0.0000 ,,0.2056 ,128589.6906 ,,144080.0219 ,0.0000 ,0.4366 ,0.3464 ,74.6048 ,16937.4564 ,
1971Q4,1174.0015 ,19.0022 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.1402 ,-0.0304 ,0.4641 ,751316.0682 ,0.2050 ,19514.6785 ,-2713.6053 ,0.1327 ,95214.4752 ,0.1511 ,,,,,55592.6279 ,0.3780 ,5616.2499 ,1750.9453 ,0.0119 ,0.0382 ,,-1848.6009 ,0.0000 ,0.0000 ,-0.0126 ,-0.0126 ,54925.3375 ,125.6084 ,0.0009 ,53744.0270 ,0.3654 ,3767.6490 ,0.0256 ,23282.3275 ,0.1583 ,21.8738 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0169 ,0.0114 ,1974.2093 ,0.0134 ,0.2316 ,37380.8243 ,161435.2073 ,7568936.7399 ,109059.8179 ,106760.3200 ,106233.5053 ,5.9015 ,105796.9077 ,1562976.7088 ,7.0279 ,,,0.2531 ,30691.4766 ,121268.9732 ,-97300.1518 ,999.0738 ,0.0068 ,3905.8335 ,0.0266 ,0.2378 ,89661.0393 ,377033.8552 ,111344.0276 ,-13460.2872 ,-0.0915 ,468213.0420 ,0.1244 ,356.0987 ,2861.6910 ,18522.0734 ,0.1259 ,5.9811 ,-0.0023 ,174.9277 ,-6498.1338 ,12743.0786 ,0.0866 ,0.0008 ,1.0218 ,8.0000 ,15788.2902 ,0.1073 ,22605.6042 ,2784.7512 ,0.0189 ,1346.1895 ,0.0092 ,0.1537 ,0.1495 ,0.1212 ,0.1203 ,2299.4979 ,0.0259 ,0.0211 ,76373.9408 ,,0.7154 ,0.2689 ,30866.4043 ,114770.8394 ,0.2335 ,147087.5685 ,0.0000 ,630047.0950 ,0.0000 ,631569.6967 ,0.2084 ,131299.2782 ,0.9976 ,147087.5685 ,0.0000 ,0.4412 ,0.3455 ,74.6458 ,17041.1809 ,
1972Q1,1042.9866 ,20.5000 ,1.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.1222 ,-0.0167 ,0.4752 ,765058.9737 ,0.2121 ,20565.7024 ,-2523.7553 ,0.1350 ,96948.8067 ,0.1516 ,,,,,57924.9125 ,0.3802 ,5728.5027 ,2016.8595 ,0.0132 ,0.0376 ,,-2193.8946 ,0.0000 ,0.0000 ,-0.0144 ,-0.0144 ,56895.1656 ,-148.0879 ,-0.0010 ,55731.0178 ,0.3658 ,3534.6080 ,0.0232 ,24100.3105 ,0.1582 ,22.2429 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0156 ,0.0183 ,2045.8067 ,0.0134 ,0.2348 ,38414.8617 ,163635.1738 ,7656882.5464 ,109250.9974 ,106800.9100 ,105540.0997 ,5.9897 ,106882.7213 ,1566850.9435 ,6.7969 ,,,0.2516 ,31535.1163 ,125350.6414 ,-96257.1652 ,171.6295 ,0.0011 ,3961.6557 ,0.0260 ,0.2422 ,92486.0570 ,381866.5731 ,115458.9431 ,-12966.1699 ,-0.0851 ,476719.5440 ,0.0041 ,15.8156 ,3874.2347 ,19242.2842 ,0.1263 ,4.9361 ,-0.0035 ,871.3572 ,-6616.4561 ,13270.0155 ,0.0871 ,0.0013 ,1.0264 ,9.0000 ,16278.5458 ,0.1068 ,23149.7811 ,2978.5167 ,0.0196 ,1439.7434 ,0.0095 ,0.1519 ,0.1475 ,0.1238 ,0.1232 ,2450.0874 ,0.0340 ,0.0224 ,79180.0826 ,,0.7414 ,0.2729 ,32406.4735 ,118734.1853 ,0.2382 ,152353.7940 ,0.0000 ,639708.3323 ,0.0000 ,634986.2050 ,0.2127 ,136075.2481 ,1.0074 ,152353.7940 ,0.0000 ,0.4466 ,0.3480 ,75.0823 ,17237.9430 ,
1972Q2,1404.3493 ,20.8011 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,1.1170 ,-0.0217 ,0.4803 ,771904.4847 ,0.2135 ,20872.1612 ,-2750.0247 ,0.1343 ,97742.9243 ,0.1520 ,,,,,59307.9165 ,0.3815 ,5747.3491 ,2031.5488 ,0.0131 ,0.0370 ,,-2409.6270 ,0.0000 ,0.0000 ,-0.0155 ,-0.0155 ,58075.9404 ,-322.1127 ,-0.0021 ,56898.2895 ,0.3660 ,3337.7221 ,0.0215 ,24209.8832 ,0.1557 ,22.5620 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0000 ,0.0157 ,0.0129 ,2087.5143 ,0.0134 ,0.2382 ,39165.2413 ,164431.4267 ,7744745.1476 ,109201.0996 ,106716.0500 ,105497.2294 ,6.0277 ,106216.8124 ,1572039.7376 ,6.8151 ,,,0.2520 ,32416.7527 ,128649.1899 ,-94852.8159 ,426.8865 ,0.0027 ,3902.5075 ,0.0251 ,0.2453 ,94217.8944 ,384048.7627 ,117735.1491 ,-13941.6615 ,-0.0897 ,479909.2425 ,0.0438 ,227.0477 ,5188.7941 ,19805.5794 ,0.1274 ,4.6883 ,-0.0042 ,977.4628 ,-8156.6129 ,13540.5492 ,0.0871 ,0.0007 ,1.0309 ,10.0000 ,16532.6841 ,0.1063 ,24076.5547 ,3116.9691 ,0.0201 ,1375.8193 ,0.0088 ,0.1549 ,0.1503 ,0.1257 ,0.1248 ,2485.0496 ,0.0339 ,0.0228 ,80851.1828 ,,0.7576 ,0.2771 ,33394.2155 ,120492.5770 ,0.2417 ,155459.8073 ,0.0000 ,643255.2948 ,0.0000 ,640697.5529 ,0.2160 ,138927.1231 ,1.0040 ,155459.8073 ,0.0000 ,0.4504 ,0.3518 ,75.8312 ,17388.1183 ,
