food,total,kids,age
21.4,50,2,25
33.7,90,2,39
34.9,180,2,47
35.5,80,2,33
30,90,1,31
26.3,70,1,24
36,140,1,46
22.7,50,1,25
32.8,100,1,30
41.5,90,1,41
34.5,100,2,48
44.9,100,1,24
35.5,80,2,28
8.4,40,2,31
18.9,70,1,32
38.8,70,2,47
26,50,2,32
35.9,150,2,38
34.2,120,1,45
17.4,50,1,28
37.7,80,1,29
23,70,1,34
64,140,2,43
31,100,1,33
20.6,60,2,47
14.8,80,2,53
20.4,50,2,29
41.4,70,2,40
24.9,60,2,33
31.1,90,1,57
48.8,100,2,43
22.4,50,1,32
24.6,60,2,25
44.4,90,2,29
43.5,150,2,38
32,120,2,34
61,160,2,36
37,90,1,50
34.7,80,1,28
32.2,100,2,34
26.8,70,2,23
38.7,100,2,47
27.5,70,2,36
39.4,110,1,44
17.1,60,1,20
35.3,90,2,35
24.7,70,1,23
20.7,60,1,29
36.8,140,2,32
31,80,2,35
23.3,80,1,26
31.5,100,2,30
24.5,140,1,30
33.7,90,1,29
34.9,190,1,49
61.2,280,2,41
41.5,100,2,47
27.8,80,1,24
41.8,90,1,51
26.7,110,2,35
26.5,60,1,47
46,130,1,29
45,100,2,29
26.9,80,2,38
33.5,90,2,38
25.9,40,2,32
26.1,50,2,29
25.1,70,2,34
24.9,90,2,26
69.5,130,2,33
19.9,40,1,47
38,90,2,28
58.9,130,1,25
29.4,70,2,28
48,110,2,40
28.3,80,1,24
70.1,360,1,41
35,60,1,33
34.1,90,2,32
29.6,310,1,36
26.2,170,1,52
82.6,210,1,38
21.4,70,1,30
31.3,100,2,46
17.7,40,1,29
21.8,40,1,28
23.6,50,1,59
39.6,90,1,39
38.5,120,2,44
27.6,70,2,34
24.7,70,2,37
39.3,140,2,35
46.1,80,2,26
25.9,70,2,30
30.6,100,1,34
25.8,60,1,36
39,230,2,36
26.2,70,2,32
32.2,120,2,40
32.5,70,1,53
36.1,70,2,30
27.4,80,1,32
38.6,160,1,45
25.5,70,2,30
22.2,60,2,26
30.7,80,2,25
44.6,110,2,32
26.6,90,2,30
35.9,130,1,32
26.8,90,2,32
37.4,90,2,25
28.1,90,1,29
30.2,70,2,24
44.7,130,1,57
36.4,90,2,34
27.3,60,1,27
22.5,70,2,33
25.1,50,2,30
27.4,110,1,50
31.7,70,1,42
35.3,160,1,35
15.7,70,2,30
30.5,90,1,27
20.3,50,1,21
23.9,60,1,19
24,40,1,37
23.5,70,2,31
19.2,50,1,31
27.5,70,1,28
33.1,70,1,21
24.1,80,1,41
30.2,80,2,28
24.3,70,2,32
29,80,2,24
41,100,2,39
29.3,80,1,49
34.2,110,2,42
64,150,2,42
48.6,90,2,25
26.9,70,2,29
39.1,100,2,45
46,150,2,53
35,70,1,36
24,60,1,52
29.4,100,2,31
31.7,70,2,53
13.9,50,1,27
27.7,70,2,33
33.9,130,1,49
25.3,90,2,33
30.8,70,1,38
19.4,100,1,41
34.2,60,2,34
35.2,80,2,36
82.6,230,1,47
32.7,90,2,25
35.9,60,2,35
16.7,90,1,41
25.8,80,1,26
32.9,60,2,32
23,70,2,38
19,70,1,34
33.8,130,2,48
21,60,1,24
38.3,110,2,32
38.9,120,2,36
59.4,120,2,40
34.6,80,2,31
33.9,150,2,33
49.3,130,1,33
34.3,70,2,40
37.7,90,2,37
35.4,100,2,48
