obs,PIBpm,exports
1980:1,124162,13099
1980:2,124585,13425
1980:3,124091,12779
1980:4,124811,13713
1981:1,124107,13415
1981:2,123969,14424
1981:3,124520,15856
1981:4,124396,15350
1982:1,124906,15697
1982:2,125380,14637
1982:3,126224,15731
1982:4,126669,16148
1983:1,127132,16294
1983:2,127919,16978
1983:3,128106,17116
1983:4,128934,17495
1984:1,130001,19051
1984:2,129600,19134
1984:3,130730,19230
1984:4,130896,17977
1985:1,132355,18669
1985:2,132231,18377
1985:3,133602,19040
1985:4,135136,19956
1986:1,135517,18457
1986:2,138745,19430
1986:3,137767,18876
1986:4,138648,19589
1987:1,141486,19783
1987:2,143603,20089
1987:3,146569,20689
1987:4,149567,20223
1988:1,150048,20842
1988:2,151884,20823
1988:3,154622,21215
1988:4,154275,20736
1989:1,157913,21241
1989:2,159467,21502
1989:3,161603,21134
1989:4,161335,21402
1990:1,162750,21416
1990:2,165515,22227
1990:3,165020,22823
1990:4,171261,22940
1991:1,167971,24035
1991:2,170019,24344
1991:3,171304,23966
1991:4,172156.3,24927
1992:1,173874.3,26489
1992:2,171607.3,26245
1992:3,171715.3,26189
1992:4,170596.5,26481
1993:1,169004,27543
1993:2,168992,27573
1993:3,171025,28190
1993:4,171670,30551
1994:1,173091,32552
1994:2,173471,31838
1994:3,174848,32543
1994:4,175501.6,34861
1995:1,177501,35272
1995:2,178613.2,35225
1995:3,179336,36224
1995:4,180677,36769
1996:1,181754,38112
1996:2,183107,38591
1996:3,184678,40217
1996:4,185641,40850
1997:1,187535,42356
1997:2,189247,43902
1997:3,191501,47242.2
1997:4,194117,46939
1998:1,195829,47611
1998:2,198049,49408
1998:3,199922,49070
1998:4,202093,48949
1999:1,204123,51456
1999:2,206555,51821
1999:3,209303,53206
1999:4,211652,54268
2000:1,215049,55958
2000:2,217755,58381
2000:3,220107,58467
2000:4,222349,59993
2001:1,224721,61103
2001:2,226396,60761
2001:3,228506,60588
2001:4,230061,59534
2002:1,231052,60533
2002:2,232949,60535
2002:3,234386,61434
2002:4,236140,62896
2003:1,238352,62761
2003:2,239608,63438
2003:3,241189,63613
2003:4,243245,64442
2004:1,244725,65624
2004:2,247131,66547
2004:3,249458,66395
2004:4,251133,66724
2005:1,253599,66628
2005:2,255852,67710
2005:3,258327,67790
2005:4,260914,68395
2006:1,263915,69222
2006:2,266491,70767
2006:3,268969,70444
2006:4,271521,73183
2007:1,274020,75244
2007:2,276493,75900
2007:3,278615,77187
2007:4,280371,76883
2008:1,280990.75,77546
2008:2,281315.75,76143
2008:3,280801.75,76902
2008:4,276232.75,71280
2009:1,269050,64187
2009:2,269038,65719
2009:3,269612,68809
2009:4,269519,69203
2010:1,269458,69883
2010:2,269879,71650
2010:3,269748,73915
2010:4,269889,76661
2011:1,269484,78798
2011:2,268648,78756
2011:3,266913,78856
2011:4,265142,79193
2012:1,262674,77777
2012:2,260156,78432
2012:3,258804,81414
2012:4,256887,80727
2013:1,256097,81509
2013:2,255871,83105
2013:3,255777,83864
2013:4,256202,83854
2014:1,257144,84664
2014:2,258355,85824
2014:3,260252,88263
2014:4,262488,88623
2015:1,265500,89091
2015:2,268365,89534
2015:3,270796,91520
2015:4,273431,92211
2016:1,275291,93273
2016:2,276433,94947
2016:3,278801,95839
2016:4,280317,97760
2017:1,282518,99150
2017:2,285413,100168
2017:3,287209,101112
2017:4,288758,102460
2018:1,289991,102594
2018:2,291690,102064
2018:3,293208,102025
2018:4,295141,103186
2019:1,296938,104847
2019:2,297966,107160
2019:3,298845,103557
2019:4,299494,103389
2020:1,283370,95772
2020:2,233382,66220
2020:3,271292,84427
2020:4,271946,88546
2021:1,273029,89252
2021:2,278745,92400
2021:3,285208,97083
2021:4,290881,101540
2022:1,291636,105340
2022:2,298888,112622
2022:3,300474,109640
2022:4,301950,110369
2023:1,303638,115365
2023:2,304960,111556
2023:3,305925,107155
