price,bedrooms,colonial,lotsize,size
300,4,1,569.12402304,226.49761152
370,3,1,920.01880512,192.86671104
191,3,0,483.095808,127.64877696
195,3,1,427.353984,134.52360192
373,4,1,566.2440288,233.55824256
466.275,5,1,795.80744064,255.85497216
332.5,3,1,836.12736,192.03058368
315,3,1,576.9278784,160.81516224
206,3,0,557.41824,164.15967168
240,3,0,268.67559168,175.5867456
285,4,1,557.41824,217.02150144
300,5,1,654.68772288,244.70660736
405,3,1,1136.85450048,313.54776
212,3,0,600.1536384,176.42287296
265,3,1,605.63491776,214.79182848
227.4,4,1,334.17223488,163.5093504
240,4,0,550.17180288,185.80608
285,3,1,661.74835392,164.80999296
268,3,1,524.15895168,127.83458304
310,4,1,799.15195008,170.4770784
266,3,1,510.40930176,190.26542592
270,3,1,724.643712,197.32605696
225,3,0,557.69694912,164.25257472
150,4,0,484.76806272,160.90806528
247,3,1,875.611152,133.7803776
275,3,0,568.00918656,179.48867328
230,3,0,623.3793984,179.48867328
343,3,1,796.82937408,195.65380224
477.5,7,1,780.385536,327.85482816
350,4,1,907.94140992,190.54413504
230,4,1,446.49201024,146.13648192
335,4,0,1401.53526144,262.82270016
251,3,1,535.40021952,151.4319552
235,4,1,593.00010432,170.9415936
361,4,1,836.12736,191.93768064
190,4,0,325.16064,158.12097408
360,4,1,1011.89991168,255.48336
575,5,1,1452.44612736,360.4637952
209.001,4,1,594.579456,172.24223616
225,2,0,824.9789952,132.01521984
246,3,1,586.58979456,154.40485248
713.5,5,1,2622.74572224,309.46002624
248,4,1,654.966432,153.84743424
230,3,0,492.8506272,108.78945984
375,5,1,616.59747648,213.02667072
265,3,1,727.80241536,163.88096256
313,3,0,92.90304,257.15561472
417.5,4,0,753.62946048,346.80704832
253,3,1,543.482784,142.69906944
315,4,1,618.7342464,152.17517952
264,3,1,616.59747648,183.20479488
255,2,0,1418.35071168,137.31069312
210,3,1,478.07904384,130.80748032
180,3,1,558.99759168,168.34030848
250,3,1,781.3145664,159.97903488
250,4,1,522.5796,165.3674112
209,4,1,520.257024,155.51968896
258,4,1,606.192336,171.870624
289,3,1,562.9924224,178.838352
316,4,0,514.58993856,217.67182272
225,3,0,702.90440064,145.57906368
266,4,1,509.48027136,154.59065856
310,6,1,496.84545792,128.76361344
471.25,5,1,1471.02673536,243.12725568
335,4,1,745.26818688,215.62795584
495,4,1,1111.67777664,245.07821952
279.5,4,1,785.9597184,177.9093216
380,4,1,1403.3004192,240.52597056
325,4,0,1008.83411136,251.67433536
220,3,1,585.289152,147.43712448
215,3,0,1073.40172416,157.37774976
240,3,1,557.41824,142.69906944
725,5,0,2879.99424,340.21093248
230,3,1,376.62892416,161.27967744
306,2,0,1923.092928,204.8512032
425,3,0,513.289296,139.54036608
318,4,1,8610.34665024,157.56355584
330,3,1,759.76106112,203.08604544
246,4,1,552.21566976,179.11706112
225,3,0,1750.10746752,120.21653376
111,4,1,400.8766176,142.6061664
268.125,3,1,480.03000768,183.9480192
244,4,1,733.28369472,194.1673536
295,3,1,562.62081024,170.66288448
236,3,0,541.43891712,159.3287136
202.5,3,0,589.09817664,146.22938496
219,2,0,591.04914048,110.0901024
242,4,1,459.870048,164.80999296
