obs,paro,defl
1960,1.35148716797674,2.46756134174966
1961,1.20629283219504,2.5127197407738
1962,1.07844041511953,2.65631835009042
1963,1.28933989490522,2.88284914700514
1964,1.37912876431833,3.06510989375366
1965,1.43819796945815,3.34624262350315
1966,0.839707862426837,3.61962978372701
1967,0.945917860183712,3.92835013124555
1968,0.952370867084045,4.16054144204865
1969,0.886983668863825,4.37420202160968
1970,0.960111667946236,4.63425896959426
1971,1.25715963841828,4.9977554653072
1972,2.23489504398873,5.42369016074656
1973,2.64255225035604,6.06603179567925
1974,2.9746797180739,7.03362058652438
1975,4.0741040311926,8.21363058176656
1976,4.565,9.5681934614985
1977,5.185,11.8053881646653
1978,6.9425,14.2412853144242
1979,8.635,16.6523693573782
1980,11.415,18.8877824568458
1981,14.03,21.2193400619637
1982,15.845,24.1019316783545
1983,17.3275,26.9674575004997
1984,20.08,29.8980838547516
1985,21.4525,32.4678562031727
1986,20.975,35.9986534042765
1987,20.2225,38.1388944486798
1988,19.2375,40.4029884458498
1989,17.24,43.1883805045946
1990,16.2375,46.3520783467579
1991,16.3125,49.567882401491
1992,18.3525,52.8932212101774
1993,22.64,55.2933322492481
1994,24.1175,57.4397692893582
1995,22.9,60.2724638954216
1996,22.08,62.40202458775
1997,20.61,63.9402492908574
1998,18.605,65.6249359515745
1999,15.64,67.3433602199922
2000,13.8725,69.6416667480575
2001,10.5525,72.5403499830372
2002,11.45,75.5084421569075
2003,11.485,78.5317892975247
2004,10.965,81.6036721443353
2005,9.1525,85.0416330073117
2006,8.4525,88.5049450351122
2007,8.2325,91.6567981897705
2008,11.245,93.9042218549164
2009,17.855,94.1214136462545
2010,19.8575,94.3970298901255
2011,21.39,94.2592603174562
2012,24.7875,94.0679398186765
2013,26.095,94.4801641741884
2014,24.4425,94.2716493671616
2015,22.0575,94.7924746834898
2016,19.635,95.1452766196504
2017,17.225,96.3421176070307
2018,15.255,97.4860310322182
2019,14.105,98.8787776276238
2020,15.5325,100
2021,14.92,102.556112365016
2022,13.035,107.388410642212
2023,12.185,114.084434562466
