EARNHRBONUS,GENDER_R,AGE_R,C_Q09,D_Q03,D_Q05a1,D2_Q10_C,D_Q10,ISCOSKIL4,EDCAT7,BORNLANG
6.82080936431885,2,45,19,1,43,1,20,1,5,1
7.5144510269165,1,41,14,1,37,3,40,3,3,1
8.7644510269165,1,49,26,1,21,1,40,3,3,1
13.7885845045329,1,46,27,1,22,1,38,1,5,1
9.83185515616104,2,47,15,1,37,1,38,1,5,1
15.384614944458,2,45,24,1,36,1,40,2,3,2
6.9364161491394,2,37,8,1,36,2,30,2,5,1
15.8820582903348,1,42,26,1,29,1,40,4,1,1
6.83030838732953,2,53,24,1,29,1,33,2,7,1
19.2307692307692,2,31,8,1,30,1,40,1,4,1
8.09248542785645,1,27,4,1,26,1,20,1,3,3
11.1538465940035,1,48,23,1,40,1,40,2,7,3
14.4230766296387,1,26,3,1,26,1,40,1,7,1
12.9937629699707,1,46,20,2,44,3,37,2,7,2
9.24855518341064,1,46,29,1,39,1,45,3,2,2
11.5606937408447,1,28,3,2,28,3,60,1,7,3
21.5017480671778,2,62,35,2,41,1,37,1,6,1
6.3583812713623,2,44,12,1,38,1,40,4,1,4
8.53999996185303,2,21,0,1,21,1,14,2,2,1
10.8600454330444,2,46,27,2,33,1,33,3,3,1
8.09026230298556,1,51,30,1,40,1,40,3,6,1
24.519231062669,2,47,23,1,41,1,40,1,7,1
11.0982656478882,2,62,24,1,37,1,15,3,3,1
13.9659297649677,2,46,23,1,27,1,32,1,6,1
6.64573148580698,2,55,23,1,51,1,40,2,3,1
8.67051982879639,2,40,14,1,33,1,40,2,1,1
6.50261204059307,1,30,6,1,29,1,40,3,2,3
8.67051982879639,2,50,31,1,46,1,24,4,2,1
7.16540707074679,1,51,36,1,32,1,50,4,2,1
10.2737018634111,1,45,19,2,33,1,45,1,5,1
15.2884612450233,2,35,10,1,26,1,40,1,7,1
6.9364161491394,1,25,4,1,24,1,40,2,5,1
16.0336536260752,2,35,8,1,29,1,40,2,6,1
12.8416861195267,1,37,21,1,27,1,42,4,1,1
21.634614944458,2,57,32,1,43,1,40,1,5,1
10.6438972766583,2,26,3,1,21,1,40,4,3,3
6.82080936431885,2,54,11,2,54,2,40,4,3,1
11.4423080591055,2,24,1,2,24,1,40,1,6,1
18.9852633947855,2,27,4,1,22,1,35,1,2,1
48.7179480658637,1,47,22,1,31,1,45,1,7,1
9.2463315817026,2,42,24,1,39,1,40,2,5,1
2.82594728469849,2,64,47,1,63,2,90,2,1,3
7.92733287811279,2,28,6,1,21,1,35,2,5,1
18.9306354522705,1,47,23,1,29,1,40,3,2,1
27.8846150911771,2,43,16,1,41,1,40,1,7,1
9.53757190704346,2,52,23,1,46,1,40,2,6,1
6.87746225503775,2,57,34,1,42,1,40,4,3,4
16.105770111084,2,58,29,1,30,1,40,1,7,1
11.5606937408447,2,26,2,1,19,1,20,1,7,2
13.2211539195134,2,48,24,1,30,1,48,1,7,1
11.5575179844112,2,44,24,2,24,1,35,2,5,1
20.488903272402,2,51,15,2,20,1,44,3,6,1
9.24855518341064,1,37,10,3,37,2,20,1,5,1
12.9937629699707,1,30,3,1,28,2,37,1,6,1
2.69675418046805,2,64,44,1,59,1,5,4,1,1
14.1579589110154,1,55,38,2,19,1,40,2,6,1
13.7019230769231,2,30,4,1,30,1,32,2,6,4
17.7234323941744,1,44,17,2,30,1,40,2,7,2
11.2827927096859,2,59,25,2,40,3,35,2,3,1
26.3450428056618,1,46,22,2,25,1,37,1,7,2
16.4835166931152,1,49,15,1,39,1,35,1,6,1
10.0087816531842,1,60,40,1,48,1,40,3,2,1
18.3264633979718,2,60,39,2,24,1,37,1,3,1
9.39999961853027,2,32,8,1,32,3,20,2,6,1
7.28123602500329,2,34,11,1,33,1,40,4,3,1
6.9364161491394,2,58,30,1,52,2,40,1,1,1
34.6820793151855,2,34,3,1,34,1,2,2,5,3
4.62427759170532,1,27,2,1,26,3,40,1,3,1
7.70712900161743,1,47,20,1,39,1,48,1,2,3
11.3461542129517,1,41,20,1,39,1,40,2,2,1
6.47398853302002,2,23,3,1,20,2,20,2,2,1
16.0526888444865,2,53,28,1,32,1,37,1,7,1
8.50841105289948,2,28,2,1,26,1,48,2,6,1
22.3931619693071,2,51,25,1,25,1,45,2,7,1
8.66718537990863,2,33,5,1,27,1,40,1,3,1
7.62067070170345,1,47,10,1,46,1,45,2,2,4
6.9364161491394,2,40,10,1,36,1,30,2,2,1
8.09248542785645,2,32,10,1,32,3,40,3,1,3
50.4807683504545,1,42,17,1,27,1,40,1,7,3
10.1156072616577,2,39,11,1,38,1,40,3,7,1
6.9364161491394,2,34,10,1,27,1,40,2,3,1
20.2429141998291,1,45,24,2,35,1,38,2,5,1
57.803466796875,1,37,17,1,24,1,10,3,2,1
15.2476177215576,2,52,15,2,46,2,37,1,7,1
7.99522025768573,2,60,35,1,25,1,40,2,3,1
9.82658958435059,1,42,25,1,36,1,40,3,3,1
8.4558219909668,1,51,20,1,49,1,35,1,3,1
8.0142283806434,2,40,15,2,32,1,100,1,7,1
4.46153831481934,2,26,1,1,26,1,13,2,6,1
8.34939002990723,1,27,2,1,27,3,36,4,7,1
8.67051982879639,2,47,25,1,45,3,8,2,6,3
12.9937625932594,1,43,20,2,41,1,37,2,7,1
8,2,52,27,1,50,3,30,3,6,3
8.2576379776001,1,46,25,2,33,1,56,1,3,3
28.8461536994347,2,41,17,1,41,1,40,1,7,1
7,1,21,0,1,19,3,12,1,5,1
5.54913282394409,1,25,2,1,24,3,25,1,6,1
27.1080797216394,1,55,25,2,32,2,28,1,7,3
33.3499102264281,2,50,25,2,25,1,38,1,7,1
8.7755050699935,2,31,16,1,23,1,36,2,3,1
27.4989943347134,2,54,35,1,41,1,42,2,1,1
9.90916633605957,1,37,21,2,15,1,35,4,5,1
12.3299245100755,2,51,32,3,41,1,20,1,6,3
5.39499044418335,2,28,5,1,26,1,30,4,5,1
7.63005781173706,2,55,20,1,54,1,30,2,1,2
28.4154065939096,1,58,32,2,26,1,40,2,7,1
15.1940546035767,2,49,23,1,26,1,35,1,7,1
19.230770111084,1,41,16,1,40,1,40,1,7,1
25.9875259399414,2,62,33,2,36,1,37,1,7,1
11.2103700637817,2,61,27,2,41,1,33,1,3,1
6.9364161491394,1,49,15,1,36,1,40,3,1,1
7.70712900161743,1,64,46,1,14,1,45,1,1,1
11.5606937408447,1,32,3,1,31,1,40,1,6,1
10.4046239852905,1,52,32,1,45,1,40,2,2,1
6.9364161491394,1,59,43,1,54,1,40,2,1,1
20.1183433532715,1,53,33,1,30,1,65,1,7,1
18.4615383148193,2,61,30,2,22,1,25,1,5,1
33.8461538461538,1,50,29,1,33,1,50,1,7,1
8.5,1,38,17,1,29,1,42,1,1,1
92.4855499267578,1,28,8,1,26,1,45,1,5,1
5.78034687042236,2,23,0,1,23,3,20,2,5,1
92.4855499267578,2,62,27,1,54,1,40,2,3,1
15.8931743915264,2,46,23,2,23,1,40,1,6,1
8.29479789733887,1,25,5,1,23,1,40,4,2,3
8,2,44,12,1,43,3,8,2,2,1
6.55105972290039,2,46,25,1,36,1,30,4,2,1
7.44230769230769,2,21,4,1,17,1,4,2,5,1
7.92733287811279,2,59,19,2,59,2,35,2,2,1
16.8269233703613,1,27,3,1,23,1,40,1,6,1
33.6538467407227,2,46,20,1,37,1,40,1,6,1
9.4872723359328,1,21,5,1,16,1,40,3,2,1
9.22573782268323,1,45,25,1,20,1,38,4,2,1
5.93657255172729,2,45,20,1,30,1,37,1,3,1
8.65384578704834,2,29,8,1,28,1,40,2,7,3
7.28323698043823,1,18,1,1,18,3,40,2,2,1
7.5144510269165,1,24,4,1,21,1,40,2,1,1
16.9510258685102,2,40,16,3,25,1,35,1,7,1
61.6570320129395,2,54,25,1,25,1,3,2,1,1
4.62427759170532,2,39,20,1,19,1,30,2,2,1
11.6616395446714,2,50,22,2,34,1,37,2,5,2
7.89795461067787,2,62,31,1,31,1,40,1,2,1
12.611665725708,1,38,10,1,32,3,55,1,6,1
23.0769239572378,2,31,9,1,27,1,50,1,7,1
23.1153788814426,2,46,22,2,24,3,37,1,7,1
14.725989488455,2,27,6,2,23,1,40,1,3,1
11.8731451034546,2,49,18,1,40,1,37,1,6,1
15.3846151645367,1,55,25,1,54,1,40,2,3,1
13.869020818354,1,24,2,1,24,2,35,1,6,1
37.0525781191312,2,49,21,2,27,1,40,1,7,1
10.2078700432411,1,52,21,1,47,1,20,4,1,1
18.7044233175424,2,48,20,1,37,1,40,2,6,1
9.53479312016414,1,48,22,1,37,1,40,1,5,1
6.69939440947313,1,19,10,1,19,2,40,4,3,1
48,1,28,10,1,18,1,40,4,2,1
6.43508217884944,2,36,7,2,35,1,40,2,3,1
10.7870167218722,2,58,35,1,49,1,40,4,3,1
5.78034687042236,1,60,4,2,15,3,4,1,1,1
7.8536331724133,1,52,20,2,47,1,39,2,7,1
10.9327867155016,2,46,23,2,30,1,37,1,7,1
13.1010605424315,1,57,33,2,24,1,35,4,5,1
14.0408083027245,2,46,16,2,27,1,45,1,7,1
5.12820529937744,2,44,10,1,40,1,36,2,6,3
19.6802189523614,1,27,3,2,24,1,37,2,6,1
10,1,53,24,1,31,1,40,2,2,1
12.713428570674,1,36,12,1,35,1,40,3,3,1
6.9364161491394,1,33,2,1,32,3,20,2,2,1
7.92733287811279,2,57,24,2,24,1,35,1,7,1
22.4358978271484,1,55,30,1,48,1,30,1,6,1
7.5144510269165,1,31,8,2,23,3,40,2,5,1
11.5606937408447,1,38,15,1,25,1,40,1,5,1
8.87574005126953,2,38,8,1,38,1,39,1,7,1
17.3410396575928,2,28,11,2,25,1,40,1,7,2
17.1818101530016,1,61,38,2,23,1,37,1,3,1
6.9364161491394,1,52,45,1,16,3,50,3,3,1
25.0444644047664,2,41,10,2,39,3,35,1,7,1
57.803466796875,2,41,18,1,24,1,4,3,5,2
9.01600668980525,2,43,20,1,30,1,50,2,6,1
9.13461501781757,1,38,7,1,36,1,40,1,6,1
6.33525991439819,2,49,22,1,28,1,25,2,5,1
16.1849708557129,2,47,23,1,46,1,40,1,7,1
10.4791017679068,1,38,20,1,37,1,40,3,2,1
7.5144510269165,1,54,29,1,50,1,40,1,1,4
3.70803678952731,2,30,6,1,29,1,80,2,2,3
9.90916633605957,2,48,12,2,32,2,35,2,3,4
12.0192308425903,2,25,0,1,25,1,40,1,3,1
25,2,38,8,1,27,3,7,3,2,3
34.854775921329,1,57,37,1,33,1,56,1,5,1
8.95953750610352,1,31,6,1,26,1,40,3,7,2
8.65384578704834,2,34,7,1,29,1,40,2,5,1
8.09248542785645,1,58,26,1,55,1,40,4,1,1
9.24855518341064,2,51,34,1,37,1,20,2,5,1
7.86165647359995,2,54,4,1,54,1,50,1,6,3
12.0403516475971,2,56,30,2,35,1,40,1,5,1
7.03145819443923,1,31,5,1,30,1,40,2,7,3
14.4230766296387,2,47,23,1,25,1,40,2,6,1
21.2901642061921,2,59,24,2,36,1,38,1,7,1
7.70712900161743,2,20,1,1,18,1,15,2,3,1
7.5144510269165,1,42,24,1,42,1,40,3,1,1
13.0030014331524,2,44,23,1,22,1,40,2,5,1
6.24277448654175,2,55,32,1,49,1,10,4,5,1
11.6943862938831,2,60,41,2,25,1,37,2,1,1
30.769229888916,1,46,28,1,25,1,45,2,6,1
8.67051982879639,2,57,25,1,44,1,40,1,2,3
19.5864831973345,2,34,10,2,25,1,48,1,7,1
5.78034687042236,2,35,7,1,32,3,16,2,7,1
24.3589735112639,1,40,10,1,36,1,45,1,6,1
17.3410396575928,1,51,35,2,29,3,48,2,2,1
17.8441881959738,1,52,31,2,21,1,38,1,2,1
14.8321471581092,1,43,10,1,38,1,40,1,6,1
14.9423076923077,1,44,15,1,36,1,40,1,3,1
9.59537601470947,1,33,10,1,24,1,40,3,2,1
8.47598948845497,2,39,20,1,18,1,40,2,2,1
10.4046239852905,2,60,30,1,53,1,40,2,5,1
18.653846520644,1,55,33,1,22,1,40,1,7,1
13.7478523254395,2,45,18,2,37,3,37,2,7,1
12.0192303290734,2,53,23,2,45,1,40,2,3,1
5.20231199264526,1,50,24,1,50,1,16,3,2,1
19.230768937331,1,64,35,1,36,1,40,3,2,1
19.3750008803148,1,40,24,1,35,1,40,2,7,1
23.4717654762687,1,45,15,2,29,2,35,1,6,1
9.12686347961426,1,46,10,1,37,1,38,4,2,4
8.38056659698486,2,56,5,2,47,2,38,1,3,1
14.4230766296387,1,50,25,1,47,1,40,1,5,1
12.2181291370601,2,40,19,2,22,1,35,3,6,1
8.51840591430664,2,34,16,1,32,1,38,1,2,1
5.39499044418335,1,16,1,1,16,1,30,4,1,1
7.5144510269165,2,42,17,1,27,1,26,1,1,1
6.26111610119159,2,65,16,1,59,1,40,2,3,3
14.9031149443345,1,55,27,2,39,1,38,2,6,1
13.942307472229,2,54,25,1,53,1,40,4,2,1
6.16570329666138,2,37,13,1,36,2,30,2,2,3
9.82658958435059,2,33,15,1,33,1,40,1,7,1
12.9057362629817,1,51,33,1,29,1,40,1,2,1
7.92733287811279,1,35,15,1,31,1,35,3,2,1
13.487476348877,2,48,25,1,40,1,36,2,5,1
16.8269233703613,1,50,28,1,47,1,40,3,2,1
12.2485551834106,2,22,1,1,22,1,40,2,2,2
24.6138196113782,1,49,26,2,37,1,27,1,7,1
5.00963401794434,1,20,3,1,20,2,30,2,3,3
13.4837706639216,1,45,28,1,28,1,40,3,2,1
8,1,22,1,2,22,3,34,1,2,3
14.7682917668269,2,50,25,2,25,1,36,1,6,1
12.1951217651367,2,45,10,1,35,1,41,1,7,1
9.05346822738647,2,35,4,1,31,1,40,2,3,4
